Product Name,Category,Quantity,Original Price (Rs.),Discount,Discounted Price (Rs.)
Special Mukhwas Mouth Freshener - With Fennel & Sesame Seeds,Dry Fruits,320 g,150.0,0% off,150.0
Somp Saunf - Brown,Dry Fruits,100 g,44.0,0% off,44.0
Mango Candy,Dry Fruits,230 g,150.0,25% OFF,120.0
Mix Fruit Candy,Dry Fruits,230 g,130.0,0% off,130.0
Saunf Meethi - Shahi Mewar,Dry Fruits,100 g - Jar,45.0,0% off,45.0
Hing Peda,Dry Fruits,200 g,135.0,0% off,135.0
Pumpkin Seeds,Dry Fruits,2x100 g - Multipack,421.875,25% OFF,337.5
Cherries - Dried,Dry Fruits,200 g,480.0,0% off,480.0
Dry Dates/Kharjura - Yellow,Dry Fruits,200 g,141.45,23% OFF,115.0
Ayurvedic Yummy Digestives - Adrakh Pachak,Dry Fruits,50 g,96.0,0% off,96.0
Roasted Pumpkin Seeds,Dry Fruits,150 g,226.0,0% off,226.0
Pachak - Shodhit Harad,Dry Fruits,100 g,44.9595,3% OFF,43.65
Cashew/Godambis - Premium Chocolate,Dry Fruits,100 g,355.2,20% OFF,296.0
Gourmet Salted Nibbles,Dry Fruits,340 g - Pouch,680.0,0% off,680.0
Somp Saunf - Sweet Green,Dry Fruits,90 g,62.0,0% off,62.0
Royal Californian Walnuts - Immunity Booster,Dry Fruits,200 g,375.0,0% off,375.0
Fard,Dry Fruits,500 g,234.0,0% off,234.0
"Mouth Freshener/ Mukhwas - Nukkad Green Sweet Saunf, After-Meal Digestive",Dry Fruits,90 g,149.0,0% off,149.0
Elaichi Silver Coated,Dry Fruits,10 g,130.0,0% off,130.0
Roasted & Salted - Cashews,Dry Fruits,2x200 g - Multipack,816.0,20% OFF,680.0
Salted Roasted Cashews,Dry Fruits,30 g - Pouch,50.0,0% off,50.0
"Magaj - 100% Natural, Good For Hair & Skin",Dry Fruits,100 g - Pouch,132.0,0% off,132.0
Almonds - Roasted & Salted,Dry Fruits,200 g,355.0,0% off,355.0
Ram Ladoo,Dry Fruits,248 g,336.5625,25% OFF,269.25
Mouth Freshener - Shahi Mix Saunf,Dry Fruits,170 g,145.0,0% off,145.0
Almond,Dry Fruits,500gm - Pouch,651.51,₹27 OFF,513.0
Roasted Sounf,Dry Fruits,90 g - Pouch,50.0,0% off,50.0
Hazelnut - A Turkish Indulgence,Dry Fruits,50 g,109.89,₹11 OFF,99.0
Shagun Gift Box - Assorted Dry Fruits & Nuts,Dry Fruits,200 g - (4 pcs x 50 g each),480.0,20% OFF,400.0
Dates - Mazafati,Dry Fruits,250 g,152.55,35% OFF,113.0
Phool Makhana,Dry Fruits,100g,228.85,15% OFF,199.0
"Fitness Dry Fruit Mix - Assorted Seeds & Nuts, Healthy",Dry Fruits,250 g,447.9024,32% OFF,339.32
Broad Beans - BBQ,Dry Fruits,500 g - Pouch,392.08799999999997,₹24 OFF,316.2
Gulkand,Dry Fruits,274 g,349.0,0% off,349.0
Premium Raw Gluten Free White Quinoa Seeds,Dry Fruits,500 g - Pouch,195.0,0% off,195.0
Signature Gift Pack - Forever Nuts,Dry Fruits,400 g,701.0,0% off,701.0
Khus Mix,Dry Fruits,180 g,193.029,₹11 OFF,173.9
Pachak Hing - Peda,Dry Fruits,100 g,69.93700000000001,3% OFF,67.9
Fresh Mint,Dry Fruits,72 g,164.16,₹8 OFF,152.0
Cashew - Salted,Dry Fruits,170 g,370.3125,25% OFF,296.25
Ajwain Churan,Dry Fruits,180 g,155.0,0% off,155.0
Mouth Freshener - Navratan Mix,Dry Fruits,150 g - Bottle,201.0,0% off,201.0
Chia Seed,Dry Fruits,200 g,180.0,0% off,180.0
Indian Raisins/Ona Drakshi - Long,Dry Fruits,100 g,60.0,0% off,60.0
American Dried Whole Cranberries,Dry Fruits,200 g,299.0,0% off,299.0
Salted Roasted Cashews,Dry Fruits,55 g - Pouch,90.0,0% off,90.0
Salted Roasted Magic Mix,Dry Fruits,55 g - Pouch ',90.0,0% off,90.0
Sunflower Seeds,Dry Fruits,100 g,,0% off,
Anardana,Dry Fruits,282 g,199.0,0% off,199.0
Raw Mix Seeds,Dry Fruits,150 g,235.0,0% off,235.0
Chia Seeds - Premium,Dry Fruits,500 g,582.048,₹29 OFF,451.2
Mint Mukhwas,Dry Fruits,100 g - Pouch,49.875,5% OFF,47.5
Peanuts - Salted,Dry Fruits,150 g - Tin,225.0,0% off,225.0
Mouth Freshener - Roasted Special Saunf,Dry Fruits,200 g,135.0,0% off,135.0
Buman,Dry Fruits,500 g - (Pack of 2),240.0,0% off,240.0
Roasted & Salted - Almond,Dry Fruits,2x200 g - Multipack,710.625,25% OFF,568.5
Rajwadi Mukhwas,Dry Fruits,140 g - Bottle,150.0,0% off,150.0
Dates/Kharjura - Seeded,Dry Fruits,1 kg - Pouch,211.0,0% off,211.0
Dried Pitted Prune,Dry Fruits,130 g - Pouch,210.0,0% off,210.0
Kacha Aam Candy,Dry Fruits,230 g,121.875,25% OFF,97.5
Black Currant Candy,Dry Fruits,230 g,,0% off,
Cocktail Nuts,Dry Fruits,4x45 g - Multipack,320.0,0% off,320.0
Jeera Goli,Dry Fruits,180 g,130.0,0% off,130.0
"Mark Premium Kismish Afghani, 200 g",Dry Fruits,200 g,193.029,₹11 OFF,173.9
"Kiwi - Dried Fruit, Natural, Healthy, Rich In Vitamins, Antioxidants & Fibre, Boosts Immunity",Dry Fruits,2x70 g - Multipack,168.0,40% OFF,120.0
"Mark Premium Kismis Black, 200 g",Dry Fruits,200 g,95.0,0% off,95.0
Ayurvedic Yummy Digestives - Podinawati,Dry Fruits,100 g,72.0,0% off,72.0
Tikha Mango,Dry Fruits,200 g,80.0,0% off,80.0
Kalkatti,Dry Fruits,200 g,150.0,0% off,150.0
Masala Kharek,Dry Fruits,200 g,80.0,0% off,80.0
Anardana Goli,Dry Fruits,180 g,130.0,0% off,130.0
"Seedless Black Dates - Rich In Protein & Fibre, Naturally Sweet, Boosts Energy",Dry Fruits,400 g,365.0,0% off,365.0
Tarbooj Magaz,Dry Fruits,100g,175.0,0% off,175.0
Anardana Goli,Dry Fruits,200 g,135.0,0% off,135.0
White Til,Dry Fruits,100g,55.0,0% off,55.0
Flavoured Cashew/Godambis - Creamy Onion,Dry Fruits,250 g,504.0,₹40 OFF,360.0
Super Dhana Dal,Dry Fruits,200 g,90.0,0% off,90.0
Very Berry Antioxidant Trail Mix,Dry Fruits,100 g,169.0,0% off,169.0
Flaxseed Powder - Cold Milled,Dry Fruits,450 g - packet,375.0,0% off,375.0
Ice Cream Mukhwas Mouth Freshener - Helps Boost Immunity & Digestion,Dry Fruits,150 g,100.1,30% OFF,77.0
Almonds - Salted,Dry Fruits,400 g - Pouch,700.8,20% OFF,584.0
Almonds - Honey Roasted,Dry Fruits,80 g,155.0,0% off,155.0
"Cashews/Godambis - Black Pepper Flavour, Roasted, Premium, Rich In Protein & Fibre",Dry Fruits,2x70 g - Multipack,409.3686,23% OFF,332.82
Calcutta Mitha Pan,Dry Fruits,90 g,220.0,0% off,220.0
"Phool Makhana - Rich In Antioxidants & Vitamins, Healthy Snack, Good For Heart",Dry Fruits,100 g - Pouch,110.0,0% off,110.0
Sweets Somp Saunf - Medium,Dry Fruits,150 g,56.0,0% off,56.0
Dates - Omani Seedless,Dry Fruits,500 g,260.0,0% off,260.0
Amla Candy,Dry Fruits,500 g - jar,175.0,0% off,175.0
Gourmet Blueberries,Dry Fruits,1 kg,2880.0,0% off,2880.0
Dhana Dal Mouth Freshener,Dry Fruits,100 g,89.76,32% OFF,68.0
Kismish No 1 Afghan Raisins - Rich In Antioxidants,Dry Fruits,100 g - Pouch,58.0,0% off,58.0
Pop n Crunch Roasted California Almonds,Dry Fruits,200 g,383.04,₹14 OFF,336.0
Oven Roasted Almonds - Salted,Dry Fruits,145 g - Pouch,295.0,₹18 OFF,250.0
"Sadabahar Shahi Paan Mukhwas - Premium Aromatic Mix, After Meal Mouth Freshener",Dry Fruits,100 g,220.0,0% off,220.0
Mitha Masala Amla,Dry Fruits,190 g,175.0,0% off,175.0
Teekha Amla,Dry Fruits,185 g,185.0,0% off,185.0
Gulab Mix - Mouth Freshener,Dry Fruits,210 g,150.0,0% off,150.0
Thanda Mitha Pan,Dry Fruits,175 g,,0% off,
Blueberry,Dry Fruits,150 g,470.0,0% off,470.0
Energy Bar - Fig & Date,Dry Fruits,30 g,,0% off,
Dried Mix Berries,Dry Fruits,125 g,260.0,0% off,260.0
Desiccated - Coconut Powder,Dry Fruits,1 kg,,0% off,
"California Almonds Kernels - Crunchy, Rich In Vitamin E",Dry Fruits,250 g,419.0,0% off,419.0
Masaledar Peanuts,Dry Fruits,150 g - Pouch,,0% off,
Foxnuts/Makhana,Dry Fruits,200 g,,0% off,
Tummy Pops Calcutta Meetha Paan,Dry Fruits,95g - Paper Pouch,99.0,0% off,99.0
Crunchy Mukhwas,Dry Fruits,120 g,140.0,0% off,140.0
Coconut Kesri,Dry Fruits,200 g - Can,138.0,0% off,138.0
Imli Bite,Dry Fruits,160 g - Can,165.0,0% off,165.0
"Shahi Calcutta Paan - Good For Digestion, Mouth Freshener",Dry Fruits,220 g,,0% off,
"Almonds - Roasted, California, Lightly Salted",Dry Fruits,200 g,345.0,0% off,345.0
Indian Kismiss,Dry Fruits,200 g,206.25,25% OFF,165.0
Amla Candy,Dry Fruits,180 g,185.0,0% off,185.0
"Roasted Almonds - Peri Peri, Premium California Badam, Healthy Snack, Superfood",Dry Fruits,2x70 g - Multipack,371.2878,23% OFF,301.86
"Splits Cashew - Half, JH",Dry Fruits,500 g,600.0,0% off,600.0
Trail Mix - Berries Nuts & Choco Drops,Dry Fruits,100 g,125.0,0% off,125.0
Premium Quality Kalmi Dates - Rich In Nutritional Benefits,Dry Fruits,250 g,,0% off,
"Pistachios - Roasted, California, Lightly Salted, Extra Large",Dry Fruits,100 g,198.0,0% off,198.0
Gourmet Fruit Berry,Dry Fruits,200 g,320.0,0% off,320.0
Roasted Sunflower Seeds,Dry Fruits,150 g,,0% off,
Almonds - Salted Roasted,Dry Fruits,200 g - Box,450.0,0% off,450.0
Tummy Pops Mouth Freshener - Gulkand/Rose Petal Jam,Dry Fruits,235g - Refill Pouch,239.0,0% off,239.0
Tummy Pops Mouth Freshener - Anardana/Pomegranate  Refill Pack,Dry Fruits,235g - Refill Pouch,239.0,0% off,239.0
Premium Dried Apricots,Dry Fruits,200 g,,0% off,
Premium California Almonds,Dry Fruits,250 g - (Pack of 2,698.535,₹29 OFF,541.5
Premium Diwali Gift Box,Dry Fruits,"150 g - (Almonds, Raisins, Cashews, 50 g each)",175.0,0% off,175.0
Walnut Kernal/Akhrot - Primo,Dry Fruits,250 g,630.0,0% off,630.0
"Cashew/Kaju W320 - Medium, Wholesome, Nutritious",Dry Fruits,1 kg,1650.0,0% off,1650.0
Cut Amla With Honey,Dry Fruits,250 g,199.0,0% off,199.0
Premium Jumbo Cashewnuts,Dry Fruits,200 g,390.0,0% off,390.0
Black Betel Nut,Dry Fruits,100 g - Pouch,330.0,32% OFF,250.0
"Dates/Kharjura - Safawi, Seeded",Dry Fruits,500 g - Pouch,525.0,0% off,525.0
"Sunflower Seeds - Dry, Salted & Roasted, Rich In Vitamins, Boosts Immune System",Dry Fruits,200 g,160.0,0% off,160.0
Roasted & Salted - Mixed Nuts,Dry Fruits,2x200 g - Multipack,862.0799999999999,20% OFF,718.4
Crispy Dal Mukhwas Mouth Freshener - Helps Boost Immunity & Digestion,Dry Fruits,120 g,100.1,30% OFF,77.0
Sweety Imli,Dry Fruits,150 g - Box,153.9,₹8 OFF,142.5
Mouth Freshener - Aam Katli,Dry Fruits,100 g - Jar,65.0,0% off,65.0
Chatpat Awla,Dry Fruits,60 g - Bottle,105.0,0% off,105.0
"Cashew - Whole, Loaded With Nutrients",Dry Fruits,200 g - Pouch,220.0,0% off,220.0
Gourmet Kalmi Dates,Dry Fruits,680 g,880.0,0% off,880.0
Cashew Nut - Vacuum Packed,Dry Fruits,200 g,360.9375,25% OFF,288.75
Premium Diwali Gift Box,Dry Fruits,"725 g - (Almonds 200 g, Cashews 175 g, Raisins 200 g, Pistachios 150 g)",3226.0612,₹102 OFF,1597.06
Namkeen - Congress,Dry Fruits,250 g,175.0,0% off,175.0
"Mouth Freshener/ Mukhwas - Nukkad Aam Papad Pachak, After Meal Digestive",Dry Fruits,90 g,182.3115,₹5 OFF,173.63
Gourmet Hazelnuts,Dry Fruits,907 g,1800.0,0% off,1800.0
Rabbi Dates - World's Finest,Dry Fruits,400 g,391.0,0% off,391.0
Ayurvedic Yummy Digestives - Aplam Chaplam,Dry Fruits,165 g - Bottle,158.0,0% off,158.0
Aplam Chaplam,Dry Fruits,180 g,160.0,0% off,160.0
Trail Mix - Mix Seeds,Dry Fruits,100 g,55.0,0% off,55.0
Dates - Arabian,Dry Fruits,500 g,376.2,71% OFF,220.0
"Mouth Freshener/ Mukhwas - Nukkad Ram Ladoo, After-Meal Digestive",Dry Fruits,90 g,179.0,0% off,179.0
Peanuts - Thai Chilli Coated,Dry Fruits,45 g,30.0,0% off,30.0
"California Almonds - Barbeque Flavour, Roasted, Premium, Rich In Protein & Fibre, Gluten Free",Dry Fruits,2x70 g - Multipack,371.2878,23% OFF,301.86
Cashews,Dry Fruits,250 g,399.0,40% OFF,285.0
"Premium Chocolate Dipped Almond Dates - Healthy Guilt-Free Dessert, No Preservatives",Dry Fruits,130 g - Pouch,247.68,20% OFF,206.4
Ayurvedic Yummy Digestives - Hazma Hazam,Dry Fruits,120 g,66.0,0% off,66.0
"Dahi Papdi Chaat Roasted Whole Cashews - Crunchy, Rich In Protein",Dry Fruits,25 g,73.99000000000001,51% OFF,49.0
"Flax Seed - Rosted, With Rock Salt",Dry Fruits,50 g,,0% off,
Raw Sunflower seeds,Dry Fruits,150 g,124.0,0% off,124.0
Dry Ginger With Rock Salt,Dry Fruits,40 g,150.0,0% off,150.0
Somp Saunf - Mint Sweets,Dry Fruits,150 g,58.0,0% off,58.0
Sweet Imli Candy,Dry Fruits,140 g,135.0,0% off,135.0
Ajwain Pachak,Dry Fruits,225 g,145.0,0% off,145.0
Pipli,Dry Fruits,195 g,308.4375,25% OFF,246.75
Chia Seeds - Tested Pathogen Free,Dry Fruits,200 g - Mono,199.0,0% off,199.0
Sunflower Seeds - Tested Pathogen Free,Dry Fruits,200 g - Mono Carton,149.0,0% off,149.0
"Dried Figs - Anjeer, Tested Pathogen Free",Dry Fruits,250 g - Mono,449.0,0% off,449.0
Plain Barik Saunf,Dry Fruits,160 g - Can,210.0,0% off,210.0
Ayurvedic Yummy Digestives - Imli Laddu,Dry Fruits,200 g - Bottle,119.0,0% off,119.0
Omani Dates - Worlds Finest,Dry Fruits,400 g,348.0,0% off,348.0
Raisins/Ona Drakshi - Yellow/Golden,Dry Fruits,200 g - Pouch,87.03999999999999,36% OFF,64.0
Flavoured Cashews - Assorted,Dry Fruits,250 g,478.59,₹29 OFF,371.0
Gourmet Pistachios,Dry Fruits,750 g - Pouch,1680.0,0% off,1680.0
Almond Plain - Rich In Vitamin E & Healthy Fats,Dry Fruits,100 g - Pouch,116.0,0% off,116.0
California Prunes - Premium Pitted,Dry Fruits,130 g,281.25,₹25 OFF,225.0
Salted Pistachios,Dry Fruits,400 g - Pouch,966.0,40% OFF,690.0
Bel Murabba,Dry Fruits,1 kg,148.8,20% OFF,124.0
"Premium Fard Dates - Nutritious & Tasty, Perfect Snack",Dry Fruits,2x400 g - Multipack,698.0,0% off,698.0
Phool Makhana,Dry Fruits,100 g,99.99,₹1 OFF,99.0
Dates - Seedless,Dry Fruits,500 g,160.0,0% off,160.0
Pistachio - Vacuum Packed,Dry Fruits,400 g - (Pack of 2),970.0,0% off,970.0
Sun Gift Dried Guava,Dry Fruits,150 g - Pouch,213.44,₹16 OFF,184.0
Pudina,Dry Fruits,262 g,349.0,0% off,349.0
"Nutty Almonds - Orange Cocoa, Zero Refines Sugar",Dry Fruits,135 g,389.025,₹33 OFF,292.5
"Mouth Freshener/ Mukhwas - Anardana , After Meal Digestive",Dry Fruits,90 g,159.0,0% off,159.0
Cashew/Godambis - Pepper Dry Roasted,Dry Fruits,80 g,149.0,0% off,149.0
Premium International Dried Himalayan Gojiberries,Dry Fruits,150 g - Pouch,291.5,10% OFF,265.0
Premium International Peru White Quinoa Seeds,Dry Fruits,500 g - Pouch,276.5625,25% OFF,221.25
Khatta Chhuhara,Dry Fruits,221 g,359.0,0% off,359.0
Premium Figs,Dry Fruits,54 g - Pouch,90.0,0% off,90.0
"Premium Turkish Dried Apricots - Rich In Vitamin A & C, Healthy Snack",Dry Fruits,2x200 g - Multipack,698.0,0% off,698.0
Anardana Goli - Good For Digestion,Dry Fruits,220 g,,0% off,
Red Mukhwas Mouth Freshener - Helps Boost Immunity & Digestion,Dry Fruits,150 g,90.09,30% OFF,69.3
Premium Diwali Gift Box,Dry Fruits,"500 g - (Almonds, Cashews, Raisins, Pistachios, 125 g each)",749.0,0% off,749.0
Green Magic Mouth Freshener,Dry Fruits,120 g,94.71000000000001,23% OFF,77.0
Omega Natural Mix,Dry Fruits,100 g - Bottle,130.0,0% off,130.0
Chia Cinnamon,Dry Fruits,75 g - Bottle,120.0,0% off,120.0
Dried Pineapple,Dry Fruits,200 g,240.0,0% off,240.0
Signature Dried Kiwi,Dry Fruits,200 g,199.0,0% off,199.0
Cashew Nuts - Salted & Roasted,Dry Fruits,500 g,,0% off,
Roasted & Salted Almonds,Dry Fruits,28 g - Pouch,50.0,0% off,50.0
"Snack - Flax Seeds, Roasted, Salted Crunch, Harippa",Dry Fruits,125 g,,0% off,
"Khenaizi Dates , Seeded/Kharjura",Dry Fruits,500 g - Pouch,235.0,0% off,235.0
Jelly Jelly,Dry Fruits,230 g - Can,155.0,0% off,155.0
Cranberry,Dry Fruits,200 g,275.0,0% off,275.0
Walnuts,Dry Fruits,200 g,640.0,0% off,640.0
Cashewnuts - Southern Pepper,Dry Fruits,200 g,435.0,0% off,435.0
Amla Chatpata,Dry Fruits,180 g,182.595,₹11 OFF,164.5
Watermelon Seeds/Kallangadi Bija,Dry Fruits,100 g,,0% off,
Dadam Vati,Dry Fruits,200 g,80.0,0% off,80.0
"Cashewnuts - Roasted, Lightly Salted",Dry Fruits,21 g,,0% off,
Poushtik Raisins,Dry Fruits,100 g - Pouch,60.0,0% off,60.0
Salted Roasted Magic Mix,Dry Fruits,12 g - Pouch,20.0,0% off,20.0
"Dry Dates - Rich In Vitamins, Minerals, Energy & Fibre, No Preservatives",Dry Fruits,200 g,130.0,0% off,130.0
Coconut Sweet,Dry Fruits,200 g - Can,138.0,0% off,138.0
Dates - Muscut Black,Dry Fruits,200 g,100.0,0% off,100.0
Dates/Kharjura - Premium Black Desert Queen,Dry Fruits,500 g - Box,279.0,0% off,279.0
Mouth Freshener - Mitha Pan,Dry Fruits,140 g - Bottle,119.0,0% off,119.0
"Mitha Awla - Rich In Vitamin C, Helps In Digestion",Dry Fruits,320 g,160.0,0% off,160.0
Premium Californian Walnut Kernels,Dry Fruits,200 g,555.0,0% off,555.0
Ayurvedic Yummy Digestives - Rochak Anardana,Dry Fruits,200 g,135.0,0% off,135.0
Jeera Goli,Dry Fruits,100 g - Pouch,50.0,0% off,50.0
Special Masala,Dry Fruits,100 g - Pouch,59.85,5% OFF,57.0
Mitha Sonff - Mouth Freshener,Dry Fruits,265 g,145.0,0% off,145.0
Nutrione - Baked Cocktail Nuts,Dry Fruits,85 g - Pouch,150.0,0% off,150.0
Nutrione - Baked Almonds,Dry Fruits,85 g - Pouch,150.0,0% off,150.0
Roasted & Salted - Pistachios,Dry Fruits,2x200 g - Multipack,796.875,25% OFF,637.5
Safawi Dates - Seeded,Dry Fruits,500g,535.0,0% off,535.0
"Mouth Freshener/ Mukhwas - Nukkad Bombay Special Paan, After Meal Digestive",Dry Fruits,90 g,179.0,0% off,179.0
Paan Mix Saunf,Dry Fruits,200 g - Can,145.0,0% off,145.0
Chuhara Khatta,Dry Fruits,180 g,135.0,0% off,135.0
Sunflower Seeds - Raw,Dry Fruits,200 g,125.0,0% off,125.0
Chatpati Candy,Dry Fruits,230 g,130.0,0% off,130.0
Sweet Amla,Dry Fruits,200 g,80.0,0% off,80.0
"Roasted Sounf - Rich In Nutrients & Antioxidants, Helps In Digestion",Dry Fruits,320 g,200.0,0% off,200.0
Somp Saunf - White,Dry Fruits,100 g,38.0,0% off,38.0
Paan Candy,Dry Fruits,230 g,130.0,0% off,130.0
Diwali Gift Box,Dry Fruits,400 g,599.0,0% off,599.0
Betel Nut Pieces - Hot Supari Blended With Saffron,Dry Fruits,40 g,69.0,0% off,69.0
RSN - Afghan Dried Munakka Abjosh,Dry Fruits,200 g - Pouch,,0% off,
Fennel Sweet,Dry Fruits,100 g - Pouch,50.0,0% off,50.0
Almonds - Roasted & Salted,Dry Fruits,4x35 g - Multipack,337.5,25% OFF,270.0
"Mixed Fruit & Nut Pack - Dehydrated, Assorted",Dry Fruits,150 g - Pack of 3,381.6,44% OFF,265.0
Dates - Arabian Pearls,Dry Fruits,500 g,249.0,0% off,249.0
Dates - Seedless,Dry Fruits,500 g - Pouch,140.0,0% off,140.0
Somp Saunf - Barik,Dry Fruits,80 g,62.0,0% off,62.0
Party Snack,Dry Fruits,160 g - Pet Jar,195.5,15% OFF,170.0
Dry Fruit Black Grape,Dry Fruits,6x50 g - Multipack,493.83,18% OFF,418.5
Hing Goli Pachak,Dry Fruits,100 g - Bottle,89.919,3% OFF,87.3
Elaichi Saunf,Dry Fruits,100 g - Pouch,50.0,0% off,50.0
"Chana Jor - With Tangy Twist, High In Fibre & Protein",Dry Fruits,160 g - Pack Of 4,,0% off,
Lightly Salted Roasted Cashews,Dry Fruits,200 g - Pouch,383.04,₹14 OFF,336.0
"Makhana - Jalapeno, Roasted, Water Lily Pops, Gluten-Free, Vegan",Dry Fruits,3x35 g - Multipack,207.9032,36% OFF,152.87
Un-Junked Dates,Dry Fruits,400 g,230.4,28% OFF,180.0
Walnut - Whole,Dry Fruits,200 g,163.8,30% OFF,126.0
Roasted Pumpkin Seeds/Kumbalakayi Bija - Salted,Dry Fruits,250 g,300.0,0% off,300.0
Fruit Jelly - Sweet Treat,Dry Fruits,240 g,,0% off,
Royal Rajwadi Mukhwas,Dry Fruits,220 g,180.0,0% off,180.0
"Chocolate Cashews - 100% Premium Raisins, Rich In Protein & Fibre",Dry Fruits,100 g,,0% off,
Recipe Ready Walnut Kernels,Dry Fruits,250 g,399.0,0% off,399.0
Panchmeva Mix Dried Fruits,Dry Fruits,450 g - Pouch,399.0,0% off,399.0
Dried Mix Fruit - Sweet Treat,Dry Fruits,205 g,,0% off,
Banana Energy Bites,Dry Fruits,85 g - Pouch,,0% off,
Lemoniz Awla,Dry Fruits,100 g,,0% off,
Tummy Pops Green Sweet Sauf,Dry Fruits,95g - Paper Pouch,79.0,0% off,79.0
Salted Peanuts,Dry Fruits,32 g - Pouch,,0% off,
Gourmet Goji Berries,Dry Fruits,150 g,340.0,0% off,340.0
Mouth Freshener - Roasted Almond Mix,Dry Fruits,125 g - Bottle,,0% off,
Chatpata Amla,Dry Fruits,500 g,180.0,0% off,180.0
Kala Khatta,Dry Fruits,250 g - Can,155.0,0% off,155.0
Lush Green Mouth Freshener,Dry Fruits,200 g - Packet,160.0,0% off,160.0
Kalmi Dates - Worlds Finest,Dry Fruits,400 g,675.0,0% off,675.0
White Chia Seeds,Dry Fruits,100 g,269.0,0% off,269.0
Dhana Dal Salted Coriander Seeds,Dry Fruits,100 g - Pouch,65.0,0% off,65.0
Amla,Dry Fruits,100 g - Pouch,,0% off,
Dates/Kharjura - Syrup,Dry Fruits,500 g - Bottle,200.0,0% off,200.0
Gulab Mukhwas,Dry Fruits,110 g - Pouch,50.0,0% off,50.0
"Blueberries - Dried, Natural & Healthy, Rich In Fibre, Vitamins, Gluten Free",Dry Fruits,2x70 g - Multipack,487.20000000000005,40% OFF,348.0
"Pumpkin Seeds - Raw, Rich In Fiber & Anti-oxidants, Improves Sleep",Dry Fruits,200 g,220.0,0% off,220.0
"Safawi Dates - Large Sized, Soft & Chewy, Chocotaley Sweetness",Dry Fruits,250 g,265.0,0% off,265.0
Dry Dates - Yellow,Dry Fruits,200 g,145.76999999999998,29% OFF,113.0
Sweet Saunf - Mouth Freshener,Dry Fruits,80 g - Pouch,35.0,0% off,35.0
Mouth Freshener - Everyday Mukhwas Confectionery,Dry Fruits,100 g - Pouch,60.0,0% off,60.0
Khenaizi,Dry Fruits,500 g,234.0,0% off,234.0
Lemon Candy,Dry Fruits,230 g,120.0,0% off,120.0
Gatagat Goli,Dry Fruits,100 g - Pouch,49.875,5% OFF,47.5
Dried Coconut Scrape,Dry Fruits,200 g - Pillow Pouch,85.0,0% off,85.0
Sweety Imli Candies - No Preservatives Or Added Colors,Dry Fruits,200 g,230.0,0% off,230.0
Paan,Dry Fruits,269 g,369.0,0% off,369.0
Hing Goli,Dry Fruits,180 g,137.05200000000002,₹8 OFF,126.9
Raw Basil/Sabja/Tukmaria Seeds - Helps In Weight Loss & Control,Dry Fruits,150 g,181.0,0% off,181.0
"Chilli Nut Chaat - Mixed Dry Fruits, Roasted, Cashews, Almonds, Pistachios & Raisins",Dry Fruits,2x70 g - Multipack,323.19,33% OFF,243.0
Ginger Candy,Dry Fruits,180 g,200.0,0% off,200.0
Imli Candy Pops,Dry Fruits,275 g,265.2051,49% OFF,177.99
"Flax Seed Mukhwas - 100% Natural, Digestive & Refreshing",Dry Fruits,150 g,202.8,₹4 OFF,195.0
Dry Meetha Pan,Dry Fruits,100 g - Jar,70.0,0% off,70.0
"Plums - Blueberry, Natural & Healthy, Rich In Antioxidants, Vitamins, Iron",Dry Fruits,2x70 g - Multipack,210.0,40% OFF,150.0
"Black Currant - Dried Fruit, Natural & Healthy, Rich In Antioxidants, Vitamins",Dry Fruits,195 g,196.8,20% OFF,164.0
"Peri Peri Roasted Whole Cashews - Crunchy, Rich In Protein",Dry Fruits,25 g,73.99000000000001,51% OFF,49.0
Kismis,Dry Fruits,140 g,95.0,0% off,95.0
Chatpati Imli Candy,Dry Fruits,140 g,135.0,0% off,135.0
Premium California Pistachios In Shell - Roasted & Salted,Dry Fruits,200 g,379.0,0% off,379.0
"Chironji Seeds - Charoli, Tested Pathogen Free",Dry Fruits,100 g - Mono,249.0,0% off,249.0
Flaxseeds - Roasted & Salted,Dry Fruits,150 g,106.821,17% OFF,91.3
Assorted Just Berries & Seeds,Dry Fruits,150 g - Pack of 3,540.2,48% OFF,365.0
Papaya,Dry Fruits,50 g,64.31,9% OFF,59.0
Red Cherry,Dry Fruits,100 g - Pouch,52.06,37% OFF,38.0
Natural Pan Mukhwas - Digestive Aid,Dry Fruits,100 g,143.64,₹14 OFF,126.0
"Mitha Paan - Mouth Freshener, After-meal Refreshment",Dry Fruits,1 pc - Pouch,35.0,0% off,35.0
Gulkand - Ethnic & Indian Wellness Recipe,Dry Fruits,250 g,224.0,0% off,224.0
Dates - Black,Dry Fruits,500 g - Zip Pouch,240.0,0% off,240.0
Ram Ladoo,Dry Fruits,200 g,135.0,0% off,135.0
Pistachios - Roasted & Salted,Dry Fruits,200 g,405.0,0% off,405.0
Dates/Kharjura - Safawi,Dry Fruits,500 g,604.99,₹1 OFF,599.0
Crushed Dates with Roasted Almond,Dry Fruits,250 g,,0% off,
Golden Shaheen Dates,Dry Fruits,250 g,135.0,0% off,135.0
Tini Mini Mouth Freshener,Dry Fruits,280 g,,0% off,
Premium Dry Fruits Blend,Dry Fruits,200 g,745.0,0% off,745.0
Nutflix Trail Mix - Powerhouse Of Energy,Dry Fruits,50 g - Pouch,,0% off,
Green Mint Mouthfreshener,Dry Fruits,100 g,70.0,0% off,70.0
